-0x1fb2 SEC_ERROR_PKCS12_DECODING_PFX
-0x1fb1 SEC_ERROR_PKCS12_INVALID_MAC
-0x1fb0 SEC_ERROR_PKCS12_UNSUPPORTED_MAC_ALGORITHM
-0x1faf SEC_ERROR_PKCS12_UNSUPPORTED_TRANSPORT_MODE
-0x1fae SEC_ERROR_PKCS12_CORRUPT_PFX_STRUCTURE
-0x1fad SEC_ERROR_PKCS12_UNSUPPORTED_PBE_ALGORITHM
-0x1fac SEC_ERROR_PKCS12_UNSUPPORTED_VERSION
-0x1fab SEC_ERROR_PKCS12_PRIVACY_PASSWORD_INCORRECT
-0x1faa SEC_ERROR_PKCS12_CERT_COLLISION
-0x1fa9 SEC_ERROR_USER_CANCELLED
-0x1fa8 SEC_ERROR_PKCS12_DUPLICATE_DATA
-0x1fa7 SEC_ERROR_MESSAGE_SEND_ABORTED
-0x1fa6 SEC_ERROR_INADEQUATE_KEY_USAGE
-0x1fa5 SEC_ERROR_INADEQUATE_CERT_TYPE
-0x1fa4 SEC_ERROR_CERT_ADDR_MISMATCH
-0x1fa3 SEC_ERROR_PKCS12_UNABLE_TO_IMPORT_KEY
-0x1fa2 SEC_ERROR_PKCS12_IMPORTING_CERT_CHAIN
-0x1fa1 SEC_ERROR_PKCS12_UNABLE_TO_LOCATE_OBJECT_BY_NAME
-0x1fa0 SEC_ERROR_PKCS12_UNABLE_TO_EXPORT_KEY
-0x1f9f SEC_ERROR_PKCS12_UNABLE_TO_WRITE
-0x1f9e SEC_ERROR_PKCS12_UNABLE_TO_READ
-0x1f9d SEC_ERROR_PKCS12_KEY_DATABASE_NOT_INITIALIZED
-0x1f9c SEC_ERROR_KEYGEN_FAIL
-0x1f9b SEC_ERROR_INVALID_PASSWORD
-0x1f9a SEC_ERROR_RETRY_OLD_PASSWORD
-0x1f99 SEC_ERROR_BAD_NICKNAME
-0x1f98 SEC_ERROR_NOT_FORTEZZA_ISSUER
-0x1f97 SEC_ERROR_CANNOT_MOVE_SENSITIVE_KEY
-0x1f96 SEC_ERROR_JS_INVALID_MODULE_NAME
-0x1f95 SEC_ERROR_JS_INVALID_DLL
-0x1f94 SEC_ERROR_JS_ADD_MOD_FAILURE
-0x1f93 SEC_ERROR_JS_DEL_MOD_FAILURE
-0x1f92 SEC_ERROR_OLD_KRL
-0x1f91 SEC_ERROR_CKL_CONFLICT
-0x1f90 SEC_ERROR_CERT_NOT_IN_NAME_SPACE
-0x1f8f SEC_ERROR_KRL_NOT_YET_VALID
-0x1f8e SEC_ERROR_CRL_NOT_YET_VALID
-0x1f8d SEC_ERROR_UNKNOWN_CERT
-0x1f8c SEC_ERROR_UNKNOWN_SIGNER
-0x1f8b SEC_ERROR_CERT_BAD_ACCESS_LOCATION
-0x1f8a SEC_ERROR_OCSP_UNKNOWN_RESPONSE_TYPE
-0x1f89 SEC_ERROR_OCSP_BAD_HTTP_RESPONSE
-0x1f88 SEC_ERROR_OCSP_MALFORMED_REQUEST
-0x1f87 SEC_ERROR_OCSP_SERVER_ERROR
-0x1f86 SEC_ERROR_OCSP_TRY_SERVER_LATER
-0x1f85 SEC_ERROR_OCSP_REQUEST_NEEDS_SIG
-0x1f84 SEC_ERROR_OCSP_UNAUTHORIZED_REQUEST
-0x1f83 SEC_ERROR_OCSP_UNKNOWN_RESPONSE_STATUS
-0x1f82 SEC_ERROR_OCSP_UNKNOWN_CERT
-0x1f81 SEC_ERROR_OCSP_NOT_ENABLED
-0x1f80 SEC_ERROR_OCSP_NO_DEFAULT_RESPONDER
-0x1f7f SEC_ERROR_OCSP_MALFORMED_RESPONSE
-0x1f7e SEC_ERROR_OCSP_UNAUTHORIZED_RESPONSE
-0x1f7d SEC_ERROR_OCSP_FUTURE_RESPONSE
